Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
10003,1,-1.5,15,6.499358803,1.048111676,4.233341104
10003,1,-1.5,19,8.770636088,1.095036036,0.587326358
10003,1,-1.5,12,5.355911298,1.036103321,0.273900609
10003,1,-1.5,11,6.538657134,1.014192217,0.217382588
10003,1,-1.5,11,8.105992124,1.074443684,0.139100159
10003,1,-1.5,16,15.18072927,1.257046453,0.098307155
10003,1,0,9,0,0,0
10003,1,0,9,0,0,0
10003,1,0,6,0,0,0
10003,1,0,6,0,0,0
10003,1,0,6,0,0,0
10003,1,0,5,0,0,0
10003,1,1.5,11,26.71699916,1.289681064,12.85619247
10003,1,1.5,5,10.42349147,1.101185831,13.24674331
10003,1,1.5,6,6.39651483,1.081589737,10.2655425
10003,1,1.5,7,16.421506,1.214176276,9.739595336
10003,1,1.5,16,4.978139125,1.033370382,0.543182407
10003,1,1.5,27,8.782701425,1.091718653,6.606529553
