Subject,Background,Gain,GroupCt_Videos,mean_D_World,sem_D_World,mean_Alpha_World,sem_Alpha_World,NumTrial,mean_D_Perceived,sem_D_Perceived
20114,1,-1.5,58,12.53406111,1.71671313,0.979315679,0.028969004,6,4.7145027,0.910474621
20114,1,0,46,0,0,0,0,6,1.075013113,0.303385447
20114,1,1.5,53,16.69711577,2.191572966,0.989912876,0.06217563,6,11.53721273,2.302243776
