Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
10003,1,-1.5,8,7.02078425481788,1.08990315011667,0.0474224782698337
10003,1,-1.5,9,5.1544708248342,0.969074852113528,0.616409424131785
10003,1,-1.5,5,4.0141987246339,0.882794304904257,0.0476156336851768
10003,1,-1.5,5,10.4846091802586,1.10030848796837,1.88722743506689
10003,1,-1.5,6,7.15428379499315,1.00851436287358,0.2573886081199
10003,1,-1.5,7,4.9730564314862,0.949338173179914,1.8050924560317
10003,2,-1.5,12,92.0328943124327,1.42791940469679,22.2144259940538
10003,2,-1.5,13,58.8563432961845,1.33728962112726,18.7058447795649
10003,2,-1.5,11,86.0890497136743,1.48739699874703,19.2183859018134
10003,2,-1.5,7,127.857904358526,1.49262687100601,30.4561000187645
10003,2,-1.5,9,54.314692899303,1.3649436850861,19.5293631843211
10003,2,-1.5,13,159.466059723085,1.615825865762,22.3315463682659
10003,1,90,5,3.8904899975,0.919362027,6.11016559
10003,1,90,8,8.575917145,1.028113476,9.170515685
10003,1,90,7,6.1933983625,1.007569727,10.88997938
10003,1,90,4,6.88485927,0.922922641,7.5587944625
10003,1,90,5,16.299376985,1.141117358,7.5305210575
10003,1,90,6,11.4584210075,1.153642151,12.61153339
10003,2,90,11,68.7249862,1.399967465,9.2591833125
10003,2,90,8,164.22012985,1.534076225,21.6179230875
10003,2,90,5,106.498343725,1.524700326,10.9879177925
10003,2,90,12,199.442340675,1.594536563,22.71884579
10003,2,90,21,237.58059265,1.68814411,5.97462044
10003,2,90,11,176.1469796,1.640303982,12.9501724075
10003,1,1.5,10,5.01095832216073,0.93438635211991,4.76406611030085
10003,1,1.5,6,5.15700396852352,0.985423139831122,7.5648131815459
10003,1,1.5,4,14.5965372574073,1.21254277408044,5.95694723287007
10003,1,1.5,6,16.0596529013941,1.15897918436628,10.7978175865887
10003,1,1.5,2,7.0191610206717,1.01137218967068,5.90495981614762
10003,1,1.5,5,5.7533612673417,0.996278666046572,6.0525962577587
10003,2,1.5,11,95.0781880054907,1.48876917469959,3.73291144915048
10003,2,1.5,10,164.270096798944,1.56196608713712,3.7503348530292
10003,2,1.5,7,74.0610433882363,1.48227875351198,1.81590938337778
10003,2,1.5,13,253.364782738143,1.63668586611184,0
10003,2,1.5,9,380.535438795347,1.75001117498584,1.82252898948279
10003,2,1.5,10,318.957267573888,1.72633827276793,1.78404275092662
