Subject,Background,Gain,GroupCt_Videos,D_Eye,Alpha_Eye,D_Perceived
10003,1,-1.5,5,2.038647204,0.859020265,0.520986669
10003,1,-1.5,11,1.853645666,0.979328569,0.50269073
10003,1,-1.5,9,1.71020276,0.910254386,0.078763046
10003,1,-1.5,8,2.413722585,0.899431293,0.934275479
10003,1,-1.5,7,1.718976699,0.894003467,0.327969293
10003,1,-1.5,5,1.624670731,0.877359598,1.703989474
10003,2,-1.5,14,24.50776204,1.348474719,29.0575027
10003,2,-1.5,6,23.9792142,1.368605795,21.37165037
10003,2,-1.5,16,11.34009263,1.264010964,17.45409899
10003,2,-1.5,9,7.680722749,1.109719227,16.72993766
10003,2,-1.5,6,15.14344107,1.36573462,15.699424
10003,2,-1.5,7,22.53900793,1.287113465,16.74398326
10003,1,0,5,1.243332775,0.880619929,0
10003,1,0,6,1.514111648,0.967985288,0.031421124
10003,1,0,5,1.417529588,0.887350859,0
10003,1,0,5,1.438807412,0.833503807,0
10003,1,0,5,2.328566567,1.003662161,0
10003,1,0,5,2.118781853,0.859541397,0
10003,2,0,7,12.47417233,1.296918978,0
10003,2,0,8,39.48162337,1.446492137,0.477358472
10003,2,0,8,17.59918604,1.247723612,0
10003,2,0,13,19.35474532,1.299235866,0
10003,2,0,7,12.69164271,1.25015792,0
10003,2,0,8,10.17662323,1.208374235,0.169412723
10003,1,1.5,7,1.493933381,0.928355196,3.464326958
10003,1,1.5,6,1.702573319,0.925686005,5.747683732
10003,1,1.5,8,3.440578551,1.064988274,6.417341666
10003,1,1.5,6,2.008595661,0.961754303,6.269380615
10003,1,1.5,9,2.765111929,1.021894104,5.202050084
10003,1,1.5,5,1.446673736,0.873591418,6.559292546
10003,2,1.5,7,30.92305218,1.44017845,0.115390967
10003,2,1.5,15,48.96876529,1.362348188,0.783795795
10003,2,1.5,14,35.04093202,1.444693528,0.148432826
10003,2,1.5,14,54.970894,1.536675827,0.155966757
10003,2,1.5,8,24.74805021,1.405692527,1.311017888
10003,2,1.5,11,27.83496993,1.474078062,0.010972717
20114,1,-1.5,11,4.043060688,1.061421113,1.906730652
20114,1,-1.5,7,4.034940577,1.051453574,1.622703866
20114,1,-1.5,7,2.551321748,0.94760167,2.513206887
20114,1,-1.5,4,2.644847888,0.825997316,1.025875809
20114,1,-1.5,5,2.449821805,0.936561141,1.008322377
20114,1,-1.5,5,3.073708254,1.016805616,2.856020092
20114,2,-1.5,8,7.638603421,1.139124508,11.35510555
20114,2,-1.5,8,9.080484939,1.120169305,12.251232
20114,2,-1.5,10,13.05749162,1.157584282,18.18743878
20114,2,-1.5,6,7.91833592,1.054236847,12.67233053
20114,2,-1.5,8,10.97295544,0.881360511,15.11416249
20114,2,-1.5,9,17.64488143,1.071667196,12.4114354
20114,1,0,6,4.255775807,0.996543642,0.056100742
20114,1,0,9,2.849772805,1.03519297,0.161047508
20114,1,0,8,3.739717306,1.002340107,0.179808246
20114,1,0,7,2.390738137,0.938847092,0.159704189
20114,1,0,4,2.239014992,0.919777456,0.028277583
20114,1,0,6,3.68433518,0.982194481,0.030148075
20114,2,0,6,10.07716137,1.131205588,0.633633246
20114,2,0,9,10.86595965,1.151869694,0
20114,2,0,10,13.14638252,1.145160527,0.040042585
20114,2,0,7,13.54559849,1.193923711,0.512685486
20114,2,0,7,18.85849089,1.177464599,0.52295291
20114,2,0,7,7.73901403,0.83604878,2.670266912
20114,1,1.5,9,4.442235696,1.054337371,8.430270263
20114,1,1.5,7,3.191851144,1.078958399,4.996821319
20114,1,1.5,9,4.444928615,1.091613989,5.80166656
20114,1,1.5,9,2.629445103,0.9868524,2.341014305
20114,1,1.5,4,3.094742788,0.973414715,3.516754354
20114,1,1.5,6,3.145298154,1.03702891,4.313497888
20114,2,1.5,8,16.70439977,1.262534693,0.517606238
20114,2,1.5,8,16.54603227,1.2316656,1.024956571
20114,2,1.5,11,29.98989196,1.337825836,0.031648007
20114,2,1.5,13,13.41744025,1.095054053,1.280299275
20114,2,1.5,8,14.117086,1.078176644,1.602901657
20114,2,1.5,14,47.7531858,1.332208015,6.854961066
20229,1,-1.5,4,6.341238297,1.281002956,1.128450608
20229,1,-1.5,8,3.604369285,1.203986016,2.718092238
20229,1,-1.5,6,2.571106947,1.068087796,1.882426153
20229,1,-1.5,7,3.231331411,1.145213314,1.865846097
20229,1,-1.5,7,5.127356967,1.252383187,4.791416311
20229,1,-1.5,7,5.12957605,1.30931615,1.874806667
20229,2,-1.5,10,8.962055685,1.486557026,6.875256763
20229,2,-1.5,9,15.11153397,1.536573874,6.743021568
20229,2,-1.5,11,6.485671994,1.367182095,4.608018923
20229,2,-1.5,9,15.44777704,1.565217011,5.704292516
20229,2,-1.5,6,4.991890543,1.33645385,6.278298775
20229,2,-1.5,5,4.762855289,1.333552829,5.567524885
20229,1,0,3,3.484899455,1.195237248,0
20229,1,0,7,2.332842901,1.102618841,0
20229,1,0,5,3.371300269,1.166659809,0.231097801
20229,1,0,5,5.509004528,1.346053532,0.048772839
20229,1,0,6,4.77017361,1.253801333,0
20229,1,0,7,5.278359861,1.305894692,0.242389079
20229,2,0,4,4.963915853,1.333906866,2.300449569
20229,2,0,7,9.714304162,1.449549061,0.827501992
20229,2,0,9,7.124135877,1.401604494,1.123959519
20229,2,0,12,6.729869433,1.432427472,0.493659252
20229,2,0,9,13.72892341,1.566379971,1.017982705
20229,2,0,12,6.128452072,1.396879613,1.049249763
20229,1,1.5,5,4.42635225,1.229106147,3.60057584
20229,1,1.5,6,2.340649908,1.066109082,3.565559241
20229,1,1.5,8,2.975790118,1.148991204,3.58154405
20229,1,1.5,5,2.406682602,0.710569676,2.6812019
20229,1,1.5,12,3.796288406,1.247682714,9.149306841
20229,1,1.5,11,5.736527736,1.33736564,3.629850877
20229,2,1.5,11,12.83598471,1.489135843,6.581890262
20229,2,1.5,5,16.5861086,1.566897062,2.731381604
20229,2,1.5,9,18.93203469,1.551914091,1.702035853
20229,2,1.5,12,12.20165204,1.508117313,2.763719225
20229,2,1.5,7,10.09740582,1.501932157,2.041016955
20229,2,1.5,24,12.28894622,1.53558636,2.872075437
20234,1,-1.5,7,5.699489865,1.22230162,4.86001475
20234,1,-1.5,9,4.420268156,1.13030719,1.80591656
20234,1,-1.5,4,1.758182904,0.976722221,1.905062507
20234,1,-1.5,7,3.031374871,1.079161937,1.838840988
20234,1,-1.5,9,6.454847878,1.263891032,1.183067308
20234,1,-1.5,12,5.77988089,1.166302848,2.630658603
20234,2,-1.5,18,12.00709721,1.279035053,9.468542808
20234,2,-1.5,8,10.73141823,1.237144138,15.64239699
20234,2,-1.5,19,10.66189347,1.210980488,13.60684821
20234,2,-1.5,9,16.21626524,1.250916919,25.47369185
20234,2,-1.5,14,15.23082297,1.288523627,11.82882998
20234,2,-1.5,14,27.34754411,1.411814215,21.54983534
20234,1,0,5,4.154504228,1.135582081,0
20234,1,0,4,5.036197988,1.252071146,0
20234,1,0,4,3.35589215,1.080869532,0
20234,1,0,4,3.65525214,1.123692588,0
20234,1,0,5,8.264956423,1.276781057,0
20234,1,0,5,6.125698013,1.280230915,0
20234,2,0,7,9.303399959,1.17822038,0
20234,2,0,9,19.76250496,1.310267314,0.516392739
20234,2,0,7,9.422830221,1.201167192,0
20234,2,0,10,43.818312,1.511465874,0
20234,2,0,6,9.919121111,1.141108523,0
20234,2,0,9,52.0944763,1.482284583,0
20234,1,1.5,9,2.95139571,1.1009558,4.867126998
20234,1,1.5,8,3.604179391,1.089069228,14.94474715
20234,1,1.5,12,4.318599721,1.140631095,4.86014205
20234,1,1.5,9,3.271009804,1.104350317,6.0209977
20234,1,1.5,6,3.951640359,1.133243202,3.672195395
20234,1,1.5,6,8.978392341,1.344637445,6.119173345
20234,2,1.5,8,11.55173914,1.235137079,0
20234,2,1.5,9,18.83774266,1.381960812,0
20234,2,1.5,11,17.936692,1.358462608,0
20234,2,1.5,12,22.3759703,1.344923317,1.641682038
20234,2,1.5,12,23.95958245,1.239095178,0.675968016
20234,2,1.5,11,17.83184723,1.128514279,2.809248405
20237,1,-1.5,23,6.389884458,1.389672715,1.154193256
20237,1,-1.5,16,5.921323565,1.344757559,4.802500133
20237,1,-1.5,22,4.915214235,1.353314639,1.832676637
20237,1,-1.5,19,7.214320027,1.451208573,0.655871294
20237,1,-1.5,29,4.222263601,1.333674157,2.743248063
20237,1,-1.5,17,3.795521117,1.3233369,1.103184221
20237,2,-1.5,33,15.7963484,1.617010293,19.07156101
20237,2,-1.5,13,17.84645576,1.622798061,9.1905724
20237,2,-1.5,30,24.361969,1.659601911,7.709335383
20237,2,-1.5,17,23.38781145,1.681346155,11.0944285
20237,2,-1.5,9,26.17327372,1.703772222,3.60892024
