X,Y
0,-0
-0.0283822138126704,-0.457142857142856
-0.085146641438012,-1
-0.482497634815496,-1.51428571428571
-0.596026490066225,-2.25714285714285
-1.05014191106905,-2.65714285714285
-1.19205298013245,-2.65714285714285
-1.44749290444653,-2.6
-1.41911069063386,-2.4
-1.27719962157046,-2.05714285714286
-1.4758751182592,-1.54285714285714
-1.58940397350993,-1.05714285714286
-1.53263954588457,-0.0571428571428552
-1.39072847682119,0.142857142857145
-1.24881740775779,0.742857142857145
-1.58940397350993,0.88571428571429
-1.41911069063386,1.22857142857143
-1.53263954588457,1.28571428571429
-1.58940397350993,1.48571428571429
-1.53263954588457,1.54285714285714
-1.39072847682119,2
-1.33396404919583,1.88571428571429
-1.27719962157046,2.14285714285714
-1.27719962157046,1.88571428571429
-1.27719962157046,2.05714285714286
-1.41911069063386,2.28571428571429
-1.4758751182592,2.14285714285714
-1.67455061494795,2.4
-1.73131504257331,2.48571428571429
-1.84484389782402,2.14285714285714
-1.98675496688742,2.34285714285715
-2.07190160832543,2.6
-2.27057710501417,2.74285714285714
-2.3841059602649,2.82857142857143
-2.52601702932828,2.88571428571429
-2.61116367076631,3.02857142857143
-2.66792809839165,3.14285714285714
-2.83822138126773,2.8
-2.80983916745505,3.02857142857143
-2.83822138126773,2.94285714285714
-2.8666035950804,3.02857142857143
-2.72469252601702,3
-2.92336802270576,3.2
-3.06527909176914,3.25714285714286
-3.0085146641438,2.85714285714286
