Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
10003,2,-1.5,14,14.0345305796473,1.1006229817508,13.4105146511705
10003,2,-1.5,9,19.3224220816182,1.22504927011521,17.3913311401567
10003,2,-1.5,8,8.1467956053925,1.00409933639159,22.6288351158601
10003,2,-1.5,10,18.1769858935007,1.21490263834293,13.6394685176382
10003,2,-1.5,9,12.7557065462162,1.10396060010807,27.0700336593765
10003,2,-1.5,9,15.518604810285,1.20385081394399,14.6814629646043
10003,2,0,7,0,0,0.0350556858350438
10003,2,0,8,0,0,0
10003,2,0,13,0,0,0
10003,2,0,9,0,0,0.225611785243855
10003,2,0,14,0,0,0
10003,2,0,10,0,0,0.215409783359417
10003,2,1.5,12,30.6869907026968,1.33403658968427,0.219451843290603
10003,2,1.5,14,51.5087395555595,1.38865535278831,1.10333719888351
10003,2,1.5,14,49.9507630864665,1.39181042023875,0.0318294369140275
10003,2,1.5,11,48.0281198043037,1.39509570392573,1.88212183326303
10003,2,1.5,11,14.2633403519266,1.18641037681047,1.13658092658955
10003,2,1.5,15,35.984902168907,1.35522547130591,0.0316245684386992
