Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
10003,1,-1.5,5,4.58695620795033,0.859020265117314,0.520986668720193
10003,1,-1.5,11,4.17070274760042,0.97932856875544,0.502690730011727
10003,1,-1.5,9,3.84795620962775,0.910254385707045,0.0787630458706157
10003,1,-1.5,8,5.43087581579262,0.899431292857635,0.934275478878595
10003,1,-1.5,7,3.8676975736231,0.894003467396765,0.32796929315066
10003,1,-1.5,5,3.65550914429737,0.877359597821058,1.70398947443361
10003,2,-1.5,14,55.142464586143,1.34847471867093,29.057502696651
10003,2,-1.5,6,53.9532319566405,1.36860579502816,21.3716503744355
10003,2,-1.5,16,25.5152084196422,1.26401096436087,17.4540989887575
10003,2,-1.5,9,17.2816261856067,1.10971922659045,16.7299376644074
10003,2,-1.5,6,34.072742410684,1.36573462000955,15.6994239969208
10003,2,-1.5,7,50.712767853649,1.28711346457986,16.7439832644943
10003,1,0,5,0,0,0
10003,1,0,6,0,0,0.0314211244987025
10003,1,0,5,0,0,0
10003,1,0,5,0,0,0
10003,1,0,5,0,0,0
10003,1,0,5,0,0,0
10003,2,0,7,0,0,0
10003,2,0,8,0,0,0.477358472115342
10003,2,0,8,0,0,0
10003,2,0,13,0,0,0
10003,2,0,7,0,0,0
10003,2,0,8,0,0,0.169412722767495
10003,1,1.5,7,3.36135010825488,0.928355195988643,3.46432695787655
10003,1,1.5,6,3.83078996724393,0.925686005489438,5.74768373152332
10003,1,1.5,8,7.74130173915115,1.06498827445522,6.41734166558645
10003,1,1.5,6,4.51934023668315,0.961754303104196,6.26938061520127
10003,1,1.5,9,6.2215018400225,1.0218941038523,5.20205008386275
10003,1,1.5,5,3.25501590525,0.873591418253579,6.55929254555553
10003,2,1.5,7,69.5768673971853,1.44017844970948,0.115390967024688
10003,2,1.5,15,110.179721908922,1.36234818816339,0.78379579523501
10003,2,1.5,14,78.8420970541817,1.44469352777486,0.148432826477742
10003,2,1.5,14,123.684511490497,1.53667582738775,0.155966757168688
10003,2,1.5,8,55.6831129834942,1.40569252663064,1.31101788756658
10003,2,1.5,11,62.6286823519453,1.47407806219793,0.0109727173766743
