Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
20234,1,-1.5,7,12.8238521967283,1.22230162033545,4.86001475
20234,1,-1.5,9,9.94560335151375,1.13030719020905,1.80591656
20234,1,-1.5,4,3.955911534516,0.976722220754109,1.90506250725
20234,1,-1.5,7,6.82059345978713,1.0791619367339,1.8388409875
20234,1,-1.5,9,14.5234077249076,1.26389103190213,1.18306730825
20234,1,-1.5,12,13.0047320015805,1.16630284770663,2.6306586025
20234,2,-1.5,18,27.015968731129,1.27903505289781,9.4685428075
20234,2,-1.5,8,24.1456910093345,1.23714413782332,15.64239699
20234,2,-1.5,19,23.9892602971467,1.21098048774398,13.606848205
20234,2,-1.5,9,36.4865967919128,1.250916919246,25.47369185
20234,2,-1.5,14,34.2693516838592,1.28852362737871,11.828829975
20234,2,-1.5,14,61.5319742577542,1.41181421503648,21.549835335
20234,1,0,5,0,0,0
20234,1,0,4,0,0,0
20234,1,0,4,0,0,0
20234,1,0,4,0,0,0
20234,1,0,5,0,0,0
20234,1,0,5,0,0,0
20234,2,0,7,0,0,0
20234,2,0,9,0,0,0.516392739
20234,2,0,7,0,0,0
20234,2,0,10,0,0,0
20234,2,0,6,0,0,0
20234,2,0,9,0,0,0
20234,1,1.5,9,6.64064034857805,1.1009558000612,4.8671269975
20234,1,1.5,8,8.10940362989377,1.08906922770751,14.9447471475
20234,1,1.5,12,9.71684937147062,1.14063109459524,4.86014205
20234,1,1.5,9,7.3597720600661,1.10435031740632,6.0209977
20234,1,1.5,6,8.89119080726693,1.13324320154995,3.672195395
20234,1,1.5,6,20.2013827661931,1.34463744500079,6.119173345
20234,2,1.5,8,25.9914130732865,1.2351370787371,0
20234,2,1.5,9,42.3849209936325,1.3819608124112,0
20234,2,1.5,11,40.3575569904565,1.35846260827213,0
20234,2,1.5,12,50.3459331833415,1.34492331675854,1.64168203775
20234,2,1.5,12,53.9090605063593,1.23909517753839,0.675968016
20234,2,1.5,11,40.1216562759408,1.12851427887183,2.809248405
