X,Y
0,-0
0,0.257142857142856
-0.113528855250729,0.314285714285711
-0.170293282876071,0.914285714285711
-0.397350993377484,0.857142857142856
-0.340586565752142,1.25714285714286
-0.766319772942296,1.2
-1.05014191106907,1.37142857142857
-1.10690633869444,1
-1.24881740775782,1
-1.24881740775782,1.2
-1.58940397350993,1.4
-1.70293282876066,1.4
-1.53263954588459,1.54285714285714
-1.9016083254494,1.51428571428571
-1.98675496688742,1.31428571428571
-2.10028382213815,1.65714285714286
-2.18543046357616,1.51428571428571
-2.18543046357616,1.45714285714286
-2.10028382213815,0.914285714285711
-2.49763481551563,1
-2.58278145695364,0.914285714285711
-2.49763481551563,0.742857142857145
-2.63954588457901,0.4
-2.98013245033113,0.142857142857145
-2.98013245033113,0.457142857142856
-2.89498580889311,0.314285714285711
-2.92336802270578,-0.0285714285714334
-2.98013245033113,-0
-2.98013245033113,0.257142857142856
-2.89498580889311,-0.0571428571428556
-2.69631031220437,-0.2
-2.49763481551563,0.314285714285711
-2.35572374645223,0.257142857142856
-2.29895931882689,0.542857142857144
-2.04351939451278,0.8
-2.29895931882689,0.771428571428567
-2.3841059602649,0.4
-1.70293282876066,0.942857142857144
-1.84484389782404,1
-1.6461684011353,0.857142857142856
-1.6461684011353,0.6
-1.58940397350993,0.714285714285711
-1.53263954588459,0.857142857142856
-1.50425733207192,1.11428571428571
